algorithm,subsampling,feature_selection,imputation_num,imputation_cat,encoding,fold,auc,sen,spec,accu,gmean
LR,rose,FFS,Median,Unknown,Label,1,0.387685419,0.480952381,0.348201624,0.366751691,0.409229032
LR,rose,FFS,Median,Missing,Label,1,0.397757018,0.496031746,0.361995617,0.380725297,0.423746762
LR,rose,FFS,Median,Mode,Label,1,0.399284671,0.502380952,0.355163079,0.375734723,0.422406399
LR,rose,FFS,Median,Drop,Label,1,0.374470319,0.482107356,0.331155701,0.351580363,0.399565513
LR,rose,FFS,Drop,Unknown,One-Hot,1,0.3729785,0.469483568,0.35264972,0.366786593,0.406894641
LR,rose,FFS,Drop,Missing,One-Hot,1,0.3729785,0.469483568,0.35264972,0.366786593,0.406894641
LR,rose,FFS,Drop,Mode,One-Hot,1,0.3729785,0.469483568,0.35264972,0.366786593,0.406894641
LR,rose,FFS,Drop,Drop,One-Hot,1,0.397601819,0.502068966,0.363582208,0.381010241,0.427250914
LR,rose,FFS,Median,Unknown,One-Hot,1,0.379378687,0.432539683,0.383137811,0.390041034,0.407090048
LR,rose,FFS,Median,Missing,One-Hot,1,0.379378687,0.432539683,0.383137811,0.390041034,0.407090048
LR,rose,FFS,Median,Mode,One-Hot,1,0.391622365,0.464285714,0.380559495,0.392259066,0.420343118
LR,rose,FFS,Median,Drop,One-Hot,1,0.374470319,0.482107356,0.331155701,0.351580363,0.399565513
LR,rose,LASSO,Drop,Unknown,Label,1,0.347067228,0.427230047,0.349633779,0.359022912,0.386489399
LR,rose,LASSO,Drop,Missing,Label,1,0.348817256,0.424100156,0.346833262,0.356182541,0.383525802
LR,rose,LASSO,Drop,Mode,Label,1,0.340468634,0.420970266,0.350064627,0.358644196,0.383883836
LR,rose,LASSO,Drop,Drop,Label,1,0.362164005,0.435862069,0.370532168,0.378753689,0.401871768
LR,rose,LASSO,Median,Unknown,Label,1,0.348426715,0.40952381,0.365863091,0.371964068,0.387078347
LR,rose,LASSO,Median,Missing,Label,1,0.35139843,0.419047619,0.365734176,0.373183986,0.3914844
LR,rose,LASSO,Median,Mode,Label,1,0.346656578,0.399206349,0.369859482,0.373960297,0.384252851
LR,rose,LASSO,Median,Drop,Label,1,0.350471908,0.448310139,0.348265671,0.361802286,0.395134194
LR,rose,LASSO,Drop,Unknown,One-Hot,1,0.340317938,0.425665102,0.339077984,0.349555009,0.379912706
LR,rose,LASSO,Drop,Missing,One-Hot,1,0.343323091,0.433489828,0.349418354,0.359590987,0.389190573
LR,rose,LASSO,Drop,Mode,One-Hot,1,0.343323091,0.433489828,0.349418354,0.359590987,0.389190573
LR,rose,LASSO,Drop,Drop,One-Hot,1,0.358677659,0.448275862,0.369340747,0.379274432,0.406898687
LR,rose,LASSO,Median,Unknown,One-Hot,1,0.342097256,0.402380952,0.367410081,0.372296773,0.384498138
LR,rose,LASSO,Median,Missing,One-Hot,1,0.344671684,0.406349206,0.369214903,0.374403904,0.387337298
LR,rose,LASSO,Median,Mode,One-Hot,1,0.347373698,0.413492063,0.370890808,0.37684374,0.391612571
LR,rose,LASSO,Median,Drop,One-Hot,1,0.347506499,0.439363817,0.347799036,0.360188299,0.390909596
LR,rose,RF,Drop,Unknown,Label,1,0.35430333,0.442879499,0.358466178,0.368680174,0.398443624
LR,rose,RF,Drop,Missing,Label,1,0.365820612,0.430359937,0.371391642,0.378526794,0.399790049
LR,rose,RF,Drop,Mode,Label,1,0.358391673,0.44600939,0.351357174,0.362810074,0.395864369
LR,rose,RF,Drop,Drop,Label,1,0.364886473,0.446896552,0.374106434,0.383266794,0.408884917
LR,rose,RF,Median,Unknown,Label,1,0.354820838,0.422222222,0.374887199,0.381501608,0.397851362
LR,rose,RF,Median,Missing,Label,1,0.354404112,0.423015873,0.371277556,0.378507264,0.396303292
LR,rose,RF,Median,Mode,Label,1,0.353729555,0.408730159,0.376949852,0.381390706,0.3925185
LR,rose,RF,Median,Drop,Label,1,0.364654351,0.429423459,0.371441904,0.379287155,0.399381856
LR,rose,RF,Drop,Unknown,One-Hot,1,0.35202772,0.430359937,0.361912969,0.370195039,0.394655346
LR,rose,RF,Drop,Missing,One-Hot,1,0.353055284,0.427230047,0.363851788,0.371520545,0.394269472
LR,rose,RF,Drop,Mode,One-Hot,1,0.350855191,0.435054773,0.356311935,0.365839803,0.393719707
LR,rose,RF,Drop,Drop,One-Hot,1,0.365331818,0.426206897,0.379467832,0.385349766,0.402158932
LR,rose,RF,Median,Unknown,One-Hot,1,0.361440767,0.426190476,0.379012505,0.385604968,0.401909841
LR,rose,RF,Median,Missing,One-Hot,1,0.364169792,0.423809524,0.385458296,0.390817345,0.404179288
LR,rose,RF,Median,Mode,One-Hot,1,0.369830629,0.412698413,0.394740235,0.39724964,0.40361946
LR,rose,RF,Median,Drop,One-Hot,1,0.356098902,0.433399602,0.353709753,0.364492266,0.391532459
LR,smote,FFS,Drop,Unknown,Label,1,0.623045588,0.266040689,0.860835847,0.788865745,0.478557584
LR,smote,FFS,Drop,Missing,Label,1,0.613205346,0.201877934,0.904351573,0.819352395,0.427280502
LR,smote,FFS,Drop,Mode,Label,1,0.613205346,0.201877934,0.904351573,0.819352395,0.427280502
LR,smote,FFS,Drop,Drop,Label,1,0.622736709,0.220689655,0.877084988,0.794480125,0.439958616
LR,smote,FFS,Median,Unknown,Label,1,0.609944167,0.203174603,0.889261312,0.793390263,0.425059189
LR,smote,FFS,Median,Missing,Label,1,0.600620382,0.186507937,0.896093851,0.796939115,0.408813668
